Cut-Off,# Top Pred in Cut-Off,Ratio: Top Pred in Cut-Off,# Top Diff in Cut-Off,Ratio: Top Diff in Cut-Off,# Samples
1,0,0.0,0,0.0,211
2,0,0.0,0,0.0,211
3,0,0.0,0,0.0,211
4,1,0.25,0,0.0,211
5,1,0.2,0,0.0,211
6,1,0.17,0,0.0,211
7,1,0.14,0,0.0,211
8,1,0.12,0,0.0,211
9,1,0.11,0,0.0,211
10,1,0.1,0,0.0,211
11,2,0.18,0,0.0,211
12,2,0.17,0,0.0,211
13,2,0.15,0,0.0,211
14,2,0.14,0,0.0,211
15,2,0.13,1,0.07,211
16,3,0.19,1,0.06,211
17,3,0.18,1,0.06,211
18,3,0.17,1,0.06,211
19,3,0.16,1,0.05,211
20,3,0.15,2,0.1,211
21,3,0.14,2,0.1,211
22,3,0.14,2,0.09,211
23,3,0.13,3,0.13,211
24,3,0.12,4,0.17,211
25,4,0.16,4,0.16,211
26,5,0.19,4,0.15,211
27,6,0.22,5,0.19,211
28,6,0.21,6,0.21,211
29,6,0.21,7,0.24,211
30,6,0.2,7,0.23,211
31,6,0.19,7,0.23,211
32,6,0.19,7,0.22,211
33,6,0.18,8,0.24,211
34,6,0.18,8,0.24,211
35,6,0.17,8,0.23,211
36,7,0.19,8,0.22,211
37,7,0.19,9,0.24,211
38,7,0.18,9,0.24,211
39,7,0.18,9,0.23,211
40,7,0.18,10,0.25,211
41,7,0.17,10,0.24,211
42,7,0.17,11,0.26,211
43,9,0.21,11,0.26,211
44,10,0.23,11,0.25,211
45,11,0.24,11,0.24,211
46,11,0.24,12,0.26,211
47,12,0.26,12,0.26,211
48,12,0.25,13,0.27,211
49,14,0.29,13,0.27,211
50,14,0.28,13,0.26,211
51,14,0.27,13,0.25,211
52,15,0.29,13,0.25,211
53,16,0.3,13,0.25,211
54,16,0.3,14,0.26,211
55,16,0.29,15,0.27,211
56,16,0.29,16,0.29,211
57,18,0.32,16,0.28,211
58,19,0.33,16,0.28,211
59,19,0.32,18,0.31,211
60,21,0.35,18,0.3,211
61,21,0.34,19,0.31,211
62,22,0.35,19,0.31,211
63,22,0.35,20,0.32,211
64,23,0.36,20,0.31,211
65,23,0.35,21,0.32,211
66,24,0.36,23,0.35,211
67,24,0.36,24,0.36,211
68,26,0.38,24,0.35,211
69,26,0.38,25,0.36,211
70,27,0.39,26,0.37,211
71,28,0.39,27,0.38,211
72,29,0.4,28,0.39,211
73,30,0.41,29,0.4,211
74,31,0.42,30,0.41,211
75,32,0.43,31,0.41,211
76,33,0.43,31,0.41,211
77,33,0.43,33,0.43,211
78,35,0.45,33,0.42,211
79,37,0.47,33,0.42,211
80,38,0.48,34,0.42,211
81,38,0.47,35,0.43,211
