Cut-Off,# Top Pred in Cut-Off,Ratio: Top Pred in Cut-Off,# Top Diff in Cut-Off,Ratio: Top Diff in Cut-Off,# Samples
1,0,0.0,0,0.0,211
2,0,0.0,0,0.0,211
3,0,0.0,0,0.0,211
4,0,0.0,0,0.0,211
5,0,0.0,0,0.0,211
6,0,0.0,0,0.0,211
7,0,0.0,0,0.0,211
8,0,0.0,0,0.0,211
9,1,0.11,0,0.0,211
10,1,0.1,0,0.0,211
11,2,0.18,0,0.0,211
12,2,0.17,0,0.0,211
13,2,0.15,0,0.0,211
14,2,0.14,0,0.0,211
15,2,0.13,0,0.0,211
16,2,0.12,0,0.0,211
17,3,0.18,0,0.0,211
18,3,0.17,1,0.06,211
19,3,0.16,1,0.05,211
20,3,0.15,2,0.1,211
21,3,0.14,2,0.1,211
22,4,0.18,2,0.09,211
23,4,0.17,2,0.09,211
24,4,0.17,4,0.17,211
25,4,0.16,4,0.16,211
26,4,0.15,4,0.15,211
27,4,0.15,4,0.15,211
28,4,0.14,4,0.14,211
29,4,0.14,4,0.14,211
30,4,0.13,6,0.2,211
31,4,0.13,6,0.19,211
32,4,0.12,6,0.19,211
33,4,0.12,6,0.18,211
34,4,0.12,7,0.21,211
35,4,0.11,7,0.2,211
36,4,0.11,7,0.19,211
37,4,0.11,8,0.22,211
38,4,0.11,8,0.21,211
39,4,0.1,9,0.23,211
40,4,0.1,10,0.25,211
41,4,0.1,10,0.24,211
42,5,0.12,10,0.24,211
43,7,0.16,11,0.26,211
44,7,0.16,11,0.25,211
45,8,0.18,11,0.24,211
46,8,0.17,12,0.26,211
47,9,0.19,12,0.26,211
48,9,0.19,14,0.29,211
49,10,0.2,14,0.29,211
50,10,0.2,15,0.3,211
51,11,0.22,15,0.29,211
52,11,0.21,16,0.31,211
53,11,0.21,16,0.3,211
54,12,0.22,17,0.31,211
55,13,0.24,17,0.31,211
56,15,0.27,17,0.3,211
57,16,0.28,18,0.32,211
58,16,0.28,19,0.33,211
59,17,0.29,19,0.32,211
60,18,0.3,19,0.32,211
61,19,0.31,19,0.31,211
62,19,0.31,20,0.32,211
63,20,0.32,20,0.32,211
64,21,0.33,21,0.33,211
65,22,0.34,21,0.32,211
66,23,0.35,22,0.33,211
67,25,0.37,22,0.33,211
68,26,0.38,23,0.34,211
69,26,0.38,23,0.33,211
70,27,0.39,25,0.36,211
71,27,0.38,27,0.38,211
72,27,0.38,28,0.39,211
73,28,0.38,30,0.41,211
74,30,0.41,30,0.41,211
75,32,0.43,31,0.41,211
76,32,0.42,32,0.42,211
77,32,0.42,33,0.43,211
78,33,0.42,35,0.45,211
79,34,0.43,35,0.44,211
80,34,0.42,37,0.46,211
81,35,0.43,39,0.48,211
