Cut-Off,# Top Pred in Cut-Off,Ratio: Top Pred in Cut-Off,# Top Diff in Cut-Off,Ratio: Top Diff in Cut-Off,# Samples
1,0,0.0,0,0.0,211
2,0,0.0,0,0.0,211
3,0,0.0,0,0.0,211
4,0,0.0,0,0.0,211
5,0,0.0,0,0.0,211
6,0,0.0,0,0.0,211
7,0,0.0,0,0.0,211
8,0,0.0,0,0.0,211
9,0,0.0,0,0.0,211
10,0,0.0,0,0.0,211
11,0,0.0,0,0.0,211
12,1,0.08,0,0.0,211
13,1,0.08,0,0.0,211
14,1,0.07,0,0.0,211
15,1,0.07,0,0.0,211
16,1,0.06,0,0.0,211
17,1,0.06,0,0.0,211
18,1,0.06,0,0.0,211
19,1,0.05,0,0.0,211
20,1,0.05,0,0.0,211
21,1,0.05,1,0.05,211
22,2,0.09,2,0.09,211
23,3,0.13,3,0.13,211
24,4,0.17,3,0.12,211
25,4,0.16,3,0.12,211
26,4,0.15,4,0.15,211
27,4,0.15,4,0.15,211
28,5,0.18,4,0.14,211
29,5,0.17,4,0.14,211
30,5,0.17,4,0.13,211
31,5,0.16,4,0.13,211
32,5,0.16,4,0.12,211
33,6,0.18,4,0.12,211
34,6,0.18,4,0.12,211
35,6,0.17,4,0.11,211
36,6,0.17,4,0.11,211
37,6,0.16,4,0.11,211
38,6,0.16,4,0.11,211
39,7,0.18,5,0.13,211
40,7,0.18,5,0.12,211
41,8,0.2,6,0.15,211
42,8,0.19,6,0.14,211
43,9,0.21,7,0.16,211
44,9,0.2,7,0.16,211
45,10,0.22,7,0.16,211
46,11,0.24,7,0.15,211
47,11,0.23,8,0.17,211
48,11,0.23,8,0.17,211
49,11,0.22,8,0.16,211
50,11,0.22,8,0.16,211
51,12,0.24,8,0.16,211
52,13,0.25,9,0.17,211
53,15,0.28,10,0.19,211
54,17,0.31,11,0.2,211
55,17,0.31,11,0.2,211
56,18,0.32,12,0.21,211
57,19,0.33,12,0.21,211
58,21,0.36,14,0.24,211
59,22,0.37,14,0.24,211
60,22,0.37,14,0.23,211
61,22,0.36,14,0.23,211
62,23,0.37,14,0.23,211
63,24,0.38,14,0.22,211
64,25,0.39,14,0.22,211
65,26,0.4,15,0.23,211
66,26,0.39,16,0.24,211
67,26,0.39,16,0.24,211
68,27,0.4,18,0.26,211
69,28,0.41,18,0.26,211
70,28,0.4,18,0.26,211
71,30,0.42,19,0.27,211
72,30,0.42,20,0.28,211
73,31,0.42,21,0.29,211
74,32,0.43,22,0.3,211
75,33,0.44,22,0.29,211
76,34,0.45,24,0.32,211
77,34,0.44,24,0.31,211
78,34,0.44,25,0.32,211
79,35,0.44,25,0.32,211
80,35,0.44,26,0.32,211
81,36,0.44,28,0.35,211
