Cut-Off,# Top Pred in Cut-Off,Ratio: Top Pred in Cut-Off,# Top Diff in Cut-Off,Ratio: Top Diff in Cut-Off,# Samples
1,0,0.0,0,0.0,211
2,0,0.0,0,0.0,211
3,0,0.0,0,0.0,211
4,0,0.0,0,0.0,211
5,0,0.0,0,0.0,211
6,0,0.0,0,0.0,211
7,0,0.0,0,0.0,211
8,0,0.0,0,0.0,211
9,0,0.0,0,0.0,211
10,0,0.0,0,0.0,211
11,0,0.0,0,0.0,211
12,0,0.0,0,0.0,211
13,0,0.0,0,0.0,211
14,0,0.0,0,0.0,211
15,1,0.07,0,0.0,211
16,1,0.06,0,0.0,211
17,1,0.06,0,0.0,211
18,1,0.06,0,0.0,211
19,1,0.05,0,0.0,211
20,1,0.05,0,0.0,211
21,2,0.1,0,0.0,211
22,2,0.09,0,0.0,211
23,2,0.09,0,0.0,211
24,2,0.08,0,0.0,211
25,2,0.08,0,0.0,211
26,2,0.08,0,0.0,211
27,3,0.11,0,0.0,211
28,4,0.14,0,0.0,211
29,5,0.17,0,0.0,211
30,5,0.17,0,0.0,211
31,5,0.16,0,0.0,211
32,6,0.19,0,0.0,211
33,6,0.18,0,0.0,211
34,7,0.21,0,0.0,211
35,8,0.23,0,0.0,211
36,8,0.22,0,0.0,211
37,8,0.22,0,0.0,211
38,9,0.24,0,0.0,211
39,10,0.26,0,0.0,211
40,10,0.25,0,0.0,211
41,11,0.27,0,0.0,211
42,11,0.26,0,0.0,211
43,12,0.28,0,0.0,211
44,13,0.3,0,0.0,211
45,13,0.29,0,0.0,211
46,13,0.28,0,0.0,211
47,14,0.3,0,0.0,211
48,15,0.31,0,0.0,211
49,15,0.31,0,0.0,211
50,15,0.3,0,0.0,211
51,16,0.31,1,0.02,211
52,16,0.31,1,0.02,211
53,18,0.34,1,0.02,211
54,18,0.33,1,0.02,211
55,18,0.33,1,0.02,211
56,18,0.32,1,0.02,211
57,20,0.35,3,0.05,211
58,22,0.38,4,0.07,211
59,22,0.37,4,0.07,211
60,24,0.4,5,0.08,211
61,25,0.41,6,0.1,211
62,25,0.4,6,0.1,211
63,25,0.4,7,0.11,211
64,26,0.41,8,0.12,211
65,26,0.4,9,0.14,211
66,26,0.39,10,0.15,211
67,26,0.39,12,0.18,211
68,26,0.38,12,0.18,211
69,27,0.39,13,0.19,211
70,28,0.4,15,0.21,211
71,29,0.41,16,0.23,211
72,30,0.42,16,0.22,211
73,32,0.44,17,0.23,211
74,34,0.46,18,0.24,211
75,35,0.47,18,0.24,211
76,36,0.47,20,0.26,211
77,36,0.47,22,0.29,211
78,37,0.47,22,0.28,211
79,38,0.48,22,0.28,211
80,38,0.48,23,0.29,211
81,40,0.49,24,0.3,211
