,Cut-Off,# Top Pred in Cut-Off,Ratio: Top Pred in Cut-Off,# Top Diff in Cut-Off,Ratio: Top Diff in Cut-Off,# Samples
0,1,0,0.0,0,0.0,211
1,2,0,0.0,0,0.0,211
2,3,0,0.0,0,0.0,211
3,4,0,0.0,0,0.0,211
4,5,0,0.0,0,0.0,211
5,6,0,0.0,0,0.0,211
6,7,0,0.0,0,0.0,211
7,8,0,0.0,0,0.0,211
8,9,0,0.0,0,0.0,211
9,10,0,0.0,0,0.0,211
10,11,0,0.0,0,0.0,211
11,12,0,0.0,0,0.0,211
12,13,0,0.0,0,0.0,211
13,14,0,0.0,0,0.0,211
14,15,1,0.07,0,0.0,211
15,16,1,0.06,0,0.0,211
16,17,1,0.06,0,0.0,211
17,18,1,0.06,0,0.0,211
18,19,1,0.05,0,0.0,211
19,20,1,0.05,0,0.0,211
20,21,1,0.05,0,0.0,211
21,22,1,0.05,0,0.0,211
22,23,1,0.04,0,0.0,211
23,24,1,0.04,0,0.0,211
24,25,1,0.04,1,0.04,211
25,26,1,0.04,1,0.04,211
26,27,2,0.07,2,0.07,211
27,28,3,0.11,2,0.07,211
28,29,3,0.1,2,0.07,211
29,30,3,0.1,2,0.07,211
30,31,3,0.1,2,0.06,211
31,32,4,0.12,2,0.06,211
32,33,5,0.15,2,0.06,211
33,34,5,0.15,2,0.06,211
34,35,6,0.17,2,0.06,211
35,36,6,0.17,3,0.08,211
36,37,7,0.19,3,0.08,211
37,38,7,0.18,3,0.08,211
38,39,7,0.18,3,0.08,211
39,40,8,0.2,4,0.1,211
40,41,10,0.24,4,0.1,211
41,42,11,0.26,4,0.1,211
42,43,12,0.28,5,0.12,211
43,44,12,0.27,5,0.11,211
44,45,14,0.31,6,0.13,211
45,46,15,0.33,6,0.13,211
46,47,15,0.32,6,0.13,211
47,48,15,0.31,6,0.12,211
48,49,15,0.31,6,0.12,211
49,50,15,0.3,6,0.12,211
50,51,16,0.31,7,0.14,211
51,52,18,0.35,7,0.13,211
52,53,19,0.36,7,0.13,211
53,54,19,0.35,8,0.15,211
54,55,19,0.35,9,0.16,211
55,56,19,0.34,9,0.16,211
56,57,19,0.33,9,0.16,211
57,58,20,0.34,9,0.16,211
58,59,20,0.34,9,0.15,211
59,60,20,0.33,10,0.17,211
60,61,22,0.36,11,0.18,211
61,62,22,0.35,11,0.18,211
62,63,22,0.35,11,0.17,211
63,64,23,0.36,11,0.17,211
64,65,24,0.37,12,0.18,211
65,66,25,0.38,12,0.18,211
66,67,25,0.37,13,0.19,211
67,68,25,0.37,14,0.21,211
68,69,26,0.38,15,0.22,211
69,70,27,0.39,15,0.21,211
70,71,28,0.39,17,0.24,211
71,72,29,0.4,19,0.26,211
72,73,29,0.4,19,0.26,211
73,74,30,0.41,20,0.27,211
74,75,31,0.41,22,0.29,211
75,76,32,0.42,24,0.32,211
76,77,32,0.42,26,0.34,211
77,78,32,0.41,28,0.36,211
78,79,33,0.42,30,0.38,211
79,80,34,0.42,31,0.39,211
80,81,34,0.42,32,0.4,211
81,82,34,0.41,33,0.4,211
82,83,35,0.42,34,0.41,211
83,84,36,0.43,34,0.4,211
84,85,37,0.44,35,0.41,211
85,86,37,0.43,35,0.41,211
86,87,38,0.44,36,0.41,211
87,88,39,0.44,36,0.41,211
88,89,40,0.45,38,0.43,211
89,90,42,0.47,38,0.42,211
90,91,43,0.47,39,0.43,211
91,92,44,0.48,41,0.45,211
92,93,44,0.47,42,0.45,211
93,94,45,0.48,44,0.47,211
94,95,45,0.47,45,0.47,211
95,96,45,0.47,46,0.48,211
96,97,46,0.47,47,0.48,211
97,98,47,0.48,48,0.49,211
98,99,49,0.49,49,0.49,211
99,100,51,0.51,50,0.5,211
100,101,52,0.51,52,0.51,211
101,102,52,0.51,52,0.51,211
102,103,52,0.5,53,0.51,211
103,104,53,0.51,54,0.52,211
104,105,55,0.52,55,0.52,211
105,106,56,0.53,57,0.54,211
106,107,58,0.54,59,0.55,211
107,108,59,0.55,60,0.56,211
108,109,60,0.55,61,0.56,211
109,110,60,0.55,62,0.56,211
110,111,61,0.55,63,0.57,211
111,112,61,0.54,64,0.57,211
112,113,61,0.54,65,0.58,211
113,114,61,0.54,66,0.58,211
114,115,62,0.54,67,0.58,211
115,116,63,0.54,68,0.59,211
116,117,64,0.55,69,0.59,211
117,118,65,0.55,71,0.6,211
118,119,66,0.55,71,0.6,211
119,120,66,0.55,72,0.6,211
120,121,67,0.55,74,0.61,211
121,122,68,0.56,75,0.61,211
122,123,69,0.56,76,0.62,211
123,124,69,0.56,76,0.61,211
124,125,70,0.56,78,0.62,211
125,126,71,0.56,79,0.63,211
126,127,72,0.57,81,0.64,211
127,128,73,0.57,81,0.63,211
128,129,75,0.58,83,0.64,211
129,130,77,0.59,85,0.65,211
130,131,77,0.59,86,0.66,211
131,132,79,0.6,87,0.66,211
132,133,80,0.6,88,0.66,211
133,134,81,0.6,89,0.66,211
134,135,83,0.61,90,0.67,211
135,136,83,0.61,92,0.68,211
136,137,85,0.62,94,0.69,211
137,138,87,0.63,95,0.69,211
138,139,88,0.63,97,0.7,211
139,140,90,0.64,99,0.71,211
140,141,91,0.65,99,0.7,211
141,142,92,0.65,100,0.7,211
142,143,93,0.65,101,0.71,211
143,144,94,0.65,102,0.71,211
144,145,96,0.66,103,0.71,211
145,146,98,0.67,104,0.71,211
146,147,100,0.68,106,0.72,211
147,148,102,0.69,108,0.73,211
148,149,103,0.69,110,0.74,211
149,150,104,0.69,112,0.75,211
150,151,106,0.7,114,0.75,211
151,152,108,0.71,116,0.76,211
152,153,110,0.72,118,0.77,211
